報導標題,報導日期,報導大意,報導內文
九合一大選禁確診者投票 監委促中選會及衛福部檢討,2023-07-26,去（2022）年九合一大選，中選會依疫情指揮中心防疫指引，不開放確診民眾到場投票，引發違憲疑慮。今（26）日監察委員公布調查報告，認為相關決策沒有完全符合「最小侵害手段」與「比例原則」，導致約6萬人的投票權受到影響，促請中選會及衛福部檢討改進。,2022年九合一大選時，中選會及疫情指揮中心拍板決定，新冠肺炎確診者不得外出投票，引發違憲疑慮，監察院也因此展開調查。監察委員26日公布調查報告，認為相關決策沒有完全符合「最小侵害手段」及「比例原則」，影響約6萬人的投票權，促請中選會及衛福部檢討改進。監察委員紀惠容表示，「他們一直說，這個是符合釋憲的原則，要限制這些確診者不能投票。但是這個不能直接來推論，因為他其實應該進行更細緻的比例跟原則，他沒有做到這一點。」監察委員指出，政府應在防疫與人民基本參政權之間權衡，找到最小衝擊的方式。像是針對確診者投票問題，中選會一度研擬4方案，甚至評估「延長投票時間」最為可行，也不涉及修法，但最後卻未採用，讓監委直言作為不夠積極；也呼籲衛福部與中選會，應針對未來可能發生的重大傳染病及早規畫有關措施，確保民眾的投票權益。監察委員葉大華批評，「你已經限制了這些確診者的行動自由，你又要剝奪他的參政權，這個真的要非常謹慎。所以該修法就要去修法，要盡可能地跟社會、跟國會做溝通。」疾管署副署長曾淑慧表示，「針對監察院提出之調查建議，本署表達尊重並感謝。COVID-19為極其罕見之全球流行性百年大疫，相關防治工作幾無前例可循，我國防疫指揮中心自2020年初成立以來，以嚴謹的科學與數據研究分析，滾動調整防疫政策，並持續改良防疫指引。」中選會則以聲明回應，對於選務的防疫措施，都是依法辦理，尊重監察院的調查意見。
蘇清泉提屏東縣長當選無效訴訟 法院一審判敗訴,2023-05-30,去年（2022）九合一大選，國民黨屏東縣長候選人蘇清泉落選，提起選舉無效和當選無效訴訟，屏東地方法院今（30）日一審判蘇清泉敗訴。,去（2022）年九合一大選，國民黨屏東縣長候選人蘇清泉以1萬1千多票落敗，由民進黨周春米勝選。蘇清泉質疑計票有誤、選舉不公，提出選舉無效和當選無效訴訟，屏東地院今（30）日一審判駁回蘇清泉告訴。屏東地院原先合議庭評議不准予對711個投開票所全面驗票，但今年3月17日准予勘驗12個投開票所，共1萬2343張選票中僅10張有爭議。5月8日進行言詞辯論最終庭時，蘇清泉曾表示對宣判結果有絕對信心。目前蘇清泉正力爭2024大選國民黨不分區立委提名，他曾在5月28日說道，「我看合議庭急著要判我敗訴。」指出自己不是沒有證據，是法院不願開放全面驗票，且沒有就問題部分深入調查。
蕭景田涉林杏兒賄選案 通緝5天自行到案8百萬交保,2023-01-04,0,國民黨中常委蕭景田，涉嫌為求台北市議員林杏兒當選，以現金行賄多名里長，調查局上門搜索時又翻牆逃走。經檢方通緝後，昨（3）日主動到案遭聲押禁見，法官諭知800萬元交保。檢方訊問後，認定蕭景田涉嫌違反《公職人員選罷法》，犯罪嫌疑重大，而且有逃亡、串證或滅證之虞，向法院聲請羈押。法官認為，蕭景田經地檢署發布通緝自行到案，但先前調查局人員前往住處搜索時，他卻直接由後牆翻越離開，不願面對本案偵查，仍有事實足認有逃亡之虞，有羈押原因，但尚無羈押必要，准以新台幣800萬元交保。蕭景田晚間步出法院時，並沒有表示意見，士林地檢則表示將提起抗告。
國民黨中常委蕭景田涉林杏兒樁腳賄選案 通緝5天到案800萬交保,2023-01-03,國民黨籍台北市議員林杏兒捲入賄選案，日前被檢方提起當選無效之訴，國民黨中常委蕭景田也因涉案，上個月29日被發布通緝。今（3）日蕭景田自行到案，法院晚間裁定800萬元交保。,國民黨士林、北投區黨部執行長曾繁川，涉嫌為新科議員林杏兒現金買票，士林地檢署上個月發動搜索，法院裁定曾繁川與20多名里長交保。但檢方進一步查出，蕭景田也涉嫌出資賄選，卻屢傳不到，上個月29日發布通緝。士檢指出，蕭景田經通緝5天，今（3）日自行到案，經檢察官訊問後，認為蕭景田涉嫌違反公職人員選舉罷免法，且嫌疑重大，有逃亡、滅證或串證之虞，正式向法院聲押禁見。法院稍早裁定800萬元交保。林杏兒上個月曾以證人身分至士檢應訊，但否認賄選，檢方訊後請回，並於上個月30日提起當選無效之訴。
綠敗選湧現內閣改組聲浪？ 蔡英文：有答案就會跟大家報告,2023-01-01,民進黨九合一選舉失利，內閣改組聲浪不斷，行政院長蘇貞昌請蔡總統多方考量，代理黨主席陳其邁也表態力挺蘇貞昌。至於民進黨敗選檢討被質疑沒提到總統因素，蔡英文說近來的檢討，無論是黨務或政務，都跟自己有關。,行政院長蘇貞昌12月31日晚間在臉書PO影片展現政績，還喊話行政團隊要繼續做對的事。但民進黨九合一選舉失利，內閣改組聲浪不斷，加上陽明山姜太公道場抽出國運籤，指內閣如果沒改組，整船可能溺水。現在代理黨主席陳其邁表態，力挺蘇貞昌。陳其邁表示，「我們真的是非常感謝行政院蘇院長的大力幫忙，我們也希望說在整體的這個布局的一個考量，也能夠以政局穩定為最重要的基礎。」蘇貞昌說，「這都要請蔡總統來多方考量，慎重考量。」蘇貞昌又PO政績片，又要蔡總統再考量，是否為捍衛閣揆，奮力一搏？但黨內立委砲火沒停過，瞄準大選檢討，批評行政院沒有檢討，換了誰都一樣。民進黨立委陳亭妃指出，「還是要把行政院現階段，為什麼人民沒有辦法跟我們同聲一氣，我覺得這都應該檢討清楚。」蔡英文回應，「近來的檢討不論是黨務或者是政務，老實講都跟我有關，那我也負起責任，而我們的目標就是要穩定政局，也要開創新局。」傳出前副總統陳建仁也是閣揆人選，陳時中也被點名接副院長，內閣該如何布局，蔡總統重申，有答案就會跟大家報告，不用過度臆測。
士檢提當選無效  林杏兒聘律師捍衛清白,2022-12-31,0,12月31日國民黨台北市議員林杏兒，遭士林地檢署提起當選無效之訴。林杏兒回應，會請律師捍衛清白，涉案曾姓樁腳不是她的輔選幹部及團隊成員。對於士檢提起當選無效之訴、確實痛心，會請律師捍衛清白，她認為是政治介入司法。林杏兒表示，「其實我那一天，我是以證人的身分去傳訊，在短短一小時內，該回答我都回答了，為什麼這麼快速，他們要在這個時候提當選無效？我一定會捍衛我的清白。」 
民進黨敗選檢討出爐 流失中間與青年票成關鍵,2022-12-28,民進黨九合一敗選檢討報告，今（28）日出爐，檢討小組召集人鄭文燦表示，中間選民及青年選票的流失成為敗選的關鍵，論文事件沒能及時止血、黑道爭議與治安事件的應處都是不利選情的因素，民進黨會深切檢討，回應民意做出改變。,民進黨九合一選舉大敗，由前桃園市長鄭文燦擔任檢討小組召集人，28日中常會提出檢討報告，其中內容指出民進黨在處理黑金爭議及重大治安議題、造成外界執政不力的疑慮，中間及青年選票流失是關鍵，鄭文燦也點名前新竹市長林智堅的論文爭議，影響年輕族群對民進黨的信任。前桃園市長鄭文燦指出，「本案沒有辦法及時止血，沒有辦法設定停損點，也加深了民眾對於我們處理方式的不滿，包括年輕族群對民進黨的信賴，也外溢到其他的選區，這也是對選情的一個重大影響的議題。」對於外界所指責的初選制度，鄭文燦表示是因為疫情，因此這次提名太晚，未來會考量時程提高黨的信賴度，另外抗中保台被負面標籤的操作也被認為是敗選的另一個原因，不過是否要因此調整論述，代理主席陳其邁認為確保台灣安全非常重要。民進黨代理黨主席陳其邁表示，「在野黨一再的利用它跟所謂的『票投民進黨 青年上戰場』來進行一些政治的操作，我相信怎麼樣維持台海的和平穩定，能夠確保在整個國家的，不管是各方面的一個持續的繁榮發展，這非常重要。」民進黨進行檢討，除了接下來的黨主席選舉，重點將放在台北及南投的立委補選，南投縣的部分有3人表達意願，經過溝通協調後，將由前立委蔡培慧出征，預計下週中常會通過人選。
羅東鎮長吳秋齡送紅酒涉賄 宜檢提當選無效之訴,2022-12-22,國民黨籍羅東鎮長吳秋齡，順利在選舉中連任，但宜蘭檢方指出，吳秋齡宴請家長會聯誼會成員，還有中小學的校長，結束之後還贈送每人一瓶980元的紅酒，認定涉犯《選罷法》，在今（22）日提起公訴，並提起當選無效之訴。但吳秋齡喊冤，說並沒有賄選意圖，請司法給予公平、公正判決。,羅東鎮長吳秋齡21日晚間參加耶誕燈車遊行，祝福現場民眾平安喜樂，但相隔一天，宜蘭地檢署對她提起公訴，指出吳秋齡在3月底以每桌4500元，宴請家長會長聯誼會成員及中小學校長，不只拜票尋求支持，會後又贈送紅酒，涉犯《選罷法》。宜蘭地檢署主任檢察官董良造說明，「贈送與會成員，校長每人1瓶價值約980元之羣島水果紅酒，被告吳姓女子涉犯《選罷法》之投票行賄罪，檢察官於今日偵查終結提起公訴，並一併提起當選無效之訴。」吳秋齡遭起訴後未現身只發聲明，內容與9月初她遭調查請回時的說法大致相同，當時她解釋，宴請是感謝家長會與校長，也聽取班班有冷氣等作法的建議，最新聲明更強調與會者，有人並未設籍羅東，何來約定投票行使之犯意。羅東鎮長吳秋齡表示，「選舉選到這樣子，我們真的很無言啦，當初是說希望藉著這樣的一個感恩的餐會，感謝他們以外也聽聽看，他們對於教育的一些有什麼建議。」聲明也指出，紅酒為里長贈送，轉贈與會者幫忙行銷，並無賄選的意圖行為，請司法給予公正公平的判決。而桃園地檢署22日也針對6名當選人提當選無效之訴，包括1名區民代表、3名里長，共4人涉犯《選罷法》投票行賄罪嫌；另外大園區與龍潭區各1名里長，涉犯刑法妨害投票正確罪嫌。
鍾東錦遭提當選無效之訴 律師：承審法官心證成關鍵,2022-12-21,苗栗縣長當選人鍾東錦就職前5天被檢方提起當選無效之訴，今（21）日本人親自召開記者會，痛批司法淪為特定政黨服務工具，完全是司法迫害。法務部與苗栗檢方都駁斥這項說法，法界人士則認為，這場官司承審法官的心證將是關鍵，最慢1年多左右就會有結果。,被苗栗地檢署提起當選無效之訴，21日上午苗栗縣長當選人鍾東錦親上火線，在苗栗縣議會召開記者會，強調涉賄的陳姓男子是大湖鄉長傅松琳的競總主委，自己並無實際往來，卻因為和傅松琳成立聯合競選總部而被檢方強行入罪，痛批完全是司法迫害。苗栗縣長當選人鍾東錦表示，「跟我完全沒有關係的事情，竟然可以扯到變當選無效的案件。縣長這麼龐大的選舉，絕對不會有任何買票的動作。但是事情發展到今天，我們一定會勇敢的面對司法，我相信正義還是會站在理性的這一邊。」鍾東錦質疑檢方是選擇性辦案，淪為特定政黨服務工具，將向監察院提出檢舉。法務次長蔡碧仲駁斥，表示是對法律人是一種侮辱，絕對依法辦理。苗栗地檢署則強調，當選人如主張輔選幹部、助選員或親友是自行決意賄選，應由當選人負舉證責任。法界人士認為，本案為民事訴訟，採證據優勢原則，承審法官的心證將是關鍵。律師徐承蔭說道，「本案的當選無效之訴，法院的審理，最後自由心證的評價，他可能要去判斷的，到底是檢察官這一方他所提出的證據是可以證明，還是另外一方，也就是鍾先生當選人這一方所主張的證據，誰的證據比較強。」根據選罷法第127條規定，選舉、罷免訴訟以二審終結，各審受理之法院應於6個月內審結，原則上最遲1年多內就會判決確定，未來這場官司勢必舉國關注，也將衝擊苗栗政壇。
苗檢提起當選無效之訴 鍾東錦：秉持「清廉執政」信念就任縣長,2022-12-21,苗栗縣長當選人鍾東錦25日將就職，苗栗地檢署昨日下午對日前起訴大湖鄉「四合一」現金賄選案中，涉案人員涉嫌為鍾東錦等人買票為由，對鍾等4人提起當選無效的民事訴訟。鍾東錦今（21）日召開記者會回應，會秉持「清廉執政」的信念就任縣長，不會受到此事件的影響，也對這場官司有信心。,苗栗地檢署14日偵結起訴首宗「四合一」現金賄選案，其中包括苗栗縣長、大湖鄉長、大湖村長、大湖鄉民代表。苗檢查出擔任苗栗縣長當選人鍾東錦競選總部的陳姓主委和2名樁腳，涉嫌替上述4人現金買票，經斟酌相關法規和法院判決後，20日對鍾東錦等人提出當選無效之訴。鍾東錦上午回應，團隊在競選期間已簽署清廉參政連署書，他也多次在幹部會議中，要求工作人員及幹部勿替村長還有代表買票，鍾東錦也在記者會公開11月與工作人員對話紀錄，「麻煩我們的幹部，絕對不要介入別人有金錢的任何動作。」鍾東錦也澄清不認識涉案3人，「我只知道陳姓主委這個人，其餘兩人則完全不認識，也沒有聯繫的管道。」25日將就職，鍾東錦表示，他會秉持「清廉執政」的信念，不會受到此事件的影響，也對這場官司有信心。總部執行長徐廷琮強調，陳姓涉案人純屬個人行為，因而牽連團隊，實在很無辜，希望司法單位釐清真相，還團隊一個公道。
